provinsi,subsektor,volume_ton,nilai_juta_usd
Aceh,Pertanian (BPS Sektor),,117.4
Bali,Pertanian (BPS Sektor),,48.5
Banten,Pertanian (BPS Sektor),,125.8
Bengkulu,Pertanian (BPS Sektor),,9.3
DI Yogyakarta,Pertanian (BPS Sektor),,2.9
DKI Jakarta,Pertanian (BPS Sektor),,416.9
Gorontalo,Pertanian (BPS Sektor),,17.9
Jambi,Pertanian (BPS Sektor),,206.9
Jawa Barat,Pertanian (BPS Sektor),,154.5
Jawa Tengah,Pertanian (BPS Sektor),,216.8
Jawa Timur,Pertanian (BPS Sektor),,827.0
Kalimantan Barat,Pertanian (BPS Sektor),,88.6
Kalimantan Selatan,Pertanian (BPS Sektor),,6.3
Kalimantan Tengah,Pertanian (BPS Sektor),,23.2
Kalimantan Timur,Pertanian (BPS Sektor),,28.3
Kalimantan Utara,Pertanian (BPS Sektor),,59.1
Kepulauan Bangka Belitung,Pertanian (BPS Sektor),,45.4
Kepulauan Riau,Pertanian (BPS Sektor),,68.9
Lampung,Pertanian (BPS Sektor),,459.7
Maluku,Pertanian (BPS Sektor),,36.8
Maluku Utara,Pertanian (BPS Sektor),,7.0
Nusa Tenggara Barat,Pertanian (BPS Sektor),,36.1
Nusa Tenggara Timur,Pertanian (BPS Sektor),,13.5
Papua,Pertanian (BPS Sektor),,1.3
Papua Barat,Pertanian (BPS Sektor),,26.6
Riau,Pertanian (BPS Sektor),,296.3
Sulawesi Barat,Pertanian (BPS Sektor),,18.2
Sulawesi Selatan,Pertanian (BPS Sektor),,256.1
Sulawesi Tengah,Pertanian (BPS Sektor),,12.1
Sulawesi Tenggara,Pertanian (BPS Sektor),,5.4
Sulawesi Utara,Pertanian (BPS Sektor),,35.2
Sumatera Barat,Pertanian (BPS Sektor),,101.1
Sumatera Selatan,Pertanian (BPS Sektor),,55.2
Sumatera Utara,Pertanian (BPS Sektor),,549.0
